time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,0,0,.fix_qua,.zone_num,.zone_letter
2022/02/16/19:11:31.726917,26682,1645056691,724713325,164,671939.859152392,4689621.62999562,5,42,T
2022/02/16/19:11:31.925910,26683,1645056691,924139976,165,671940.015715162,4689621.81883465,5,42,T
2022/02/16/19:11:31.926800,26684,1645056691,924139976,166,671940.015715162,4689621.81883465,5,42,T
2022/02/16/19:11:32.126868,26685,1645056692,125028848,167,671940.161732643,4689621.99424059,5,42,T
2022/02/16/19:11:32.128095,26686,1645056692,125028848,168,671940.161732643,4689621.99424059,5,42,T
2022/02/16/19:11:32.331959,26687,1645056692,329012393,169,671940.282616767,4689622.17849278,5,42,T
2022/02/16/19:11:32.332332,26688,1645056692,329012393,170,671940.282616767,4689622.17849278,5,42,T
2022/02/16/19:11:32.518411,26689,1645056692,517460823,171,671940.374473928,4689622.34514716,5,42,T
2022/02/16/19:11:32.518432,26690,1645056692,517460823,172,671940.374473928,4689622.34514716,5,42,T
2022/02/16/19:11:32.727783,26691,1645056692,725873470,173,671940.501502411,4689622.52583912,5,42,T
2022/02/16/19:11:32.728799,26692,1645056692,725873470,174,671940.501502411,4689622.52583912,5,42,T
2022/02/16/19:11:32.928339,26693,1645056692,926490545,175,671940.671418072,4689622.70906825,5,42,T
2022/02/16/19:11:32.928667,26694,1645056692,926490545,176,671940.671418072,4689622.70906825,5,42,T
2022/02/16/19:11:33.128606,26695,1645056693,126378297,177,671940.842118206,4689622.89398662,5,42,T
2022/02/16/19:11:33.129268,26696,1645056693,126378297,178,671940.842118206,4689622.89398662,5,42,T
2022/02/16/19:11:33.328588,26697,1645056693,326145648,179,671940.988765357,4689623.0773868,5,42,T
2022/02/16/19:11:33.328649,26698,1645056693,326145648,180,671940.988765357,4689623.0773868,5,42,T
2022/02/16/19:11:33.528929,26699,1645056693,527078628,181,671941.131796598,4689623.27350136,5,42,T
2022/02/16/19:11:33.528980,26700,1645056693,527078628,182,671941.131796598,4689623.27350136,5,42,T
2022/02/16/19:11:33.728111,26701,1645056693,726599931,183,671941.279591888,4689623.46620736,5,42,T
2022/02/16/19:11:33.729287,26702,1645056693,726599931,184,671941.279591888,4689623.46620736,5,42,T
2022/02/16/19:11:33.921504,26703,1645056693,921012878,185,671941.426668966,4689623.69377962,5,42,T
2022/02/16/19:11:33.921757,26704,1645056693,921012878,186,671941.426668966,4689623.69377962,5,42,T
2022/02/16/19:11:34.121433,26705,1645056694,119138956,187,671941.553058601,4689623.91731856,5,42,T
2022/02/16/19:11:34.121631,26706,1645056694,119138956,188,671941.553058601,4689623.91731856,5,42,T
2022/02/16/19:11:34.325210,26707,1645056694,323012113,189,671941.658244884,4689624.12419396,5,42,T
2022/02/16/19:11:34.325237,26708,1645056694,323012113,190,671941.658244884,4689624.12419396,5,42,T
2022/02/16/19:11:34.529708,26709,1645056694,527571916,191,671941.766965128,4689624.32169292,5,42,T
2022/02/16/19:11:34.529970,26710,1645056694,527571916,192,671941.766965128,4689624.32169292,5,42,T
2022/02/16/19:11:34.730377,26711,1645056694,728466033,193,671941.899242166,4689624.54092313,5,42,T
2022/02/16/19:11:34.730434,26712,1645056694,728466033,194,671941.899242166,4689624.54092313,5,42,T
2022/02/16/19:11:34.930975,26713,1645056694,928924560,195,671942.011675431,4689624.75539853,5,42,T
2022/02/16/19:11:34.931032,26714,1645056694,928924560,196,671942.011675431,4689624.75539853,5,42,T
2022/02/16/19:11:35.130652,26715,1645056695,128351688,197,671942.168112642,4689624.96056316,5,42,T
2022/02/16/19:11:35.130690,26716,1645056695,128351688,198,671942.168112642,4689624.96056316,5,42,T
2022/02/16/19:11:35.332360,26717,1645056695,330342054,199,671942.294374749,4689625.13882416,5,42,T
2022/02/16/19:11:35.332925,26718,1645056695,330342054,200,671942.294374749,4689625.13882416,5,42,T
2022/02/16/19:11:35.533181,26719,1645056695,531202793,201,671942.443603863,4689625.27311632,5,42,T
2022/02/16/19:11:35.533229,26720,1645056695,531202793,202,671942.443603863,4689625.27311632,5,42,T
2022/02/16/19:11:35.734481,26721,1645056695,732306241,203,671942.542317486,4689625.51935555,5,42,T
2022/02/16/19:11:35.734715,26722,1645056695,732306241,204,671942.542317486,4689625.51935555,5,42,T
2022/02/16/19:11:35.935324,26723,1645056695,933548688,205,671942.580026496,4689625.8954685,5,42,T
2022/02/16/19:11:35.936154,26724,1645056695,933548688,206,671942.580026496,4689625.8954685,5,42,T
2022/02/16/19:11:36.117622,26725,1645056696,117131948,207,671942.610295785,4689626.23818491,5,42,T
2022/02/16/19:11:36.118125,26726,1645056696,117131948,208,671942.610295785,4689626.23818491,5,42,T
2022/02/16/19:11:36.317940,26727,1645056696,317073822,209,671942.616310821,4689626.63244623,5,42,T
2022/02/16/19:11:36.317968,26728,1645056696,317073822,210,671942.616310821,4689626.63244623,5,42,T
2022/02/16/19:11:36.524526,26729,1645056696,522811174,211,671942.646897732,4689626.95661518,5,42,T
2022/02/16/19:11:36.525069,26730,1645056696,522811174,212,671942.646897732,4689626.95661518,5,42,T
2022/02/16/19:11:36.726031,26731,1645056696,725578308,213,671942.699836108,4689627.25628321,5,42,T
2022/02/16/19:11:36.726296,26732,1645056696,725578308,214,671942.699836108,4689627.25628321,5,42,T
2022/02/16/19:11:36.929468,26733,1645056696,927600622,215,671942.784100234,4689627.58084203,5,42,T
2022/02/16/19:11:36.930697,26734,1645056696,927600622,216,671942.784100234,4689627.58084203,5,42,T
2022/02/16/19:11:37.129370,26735,1645056697,127912521,217,671942.834403911,4689627.842036,5,42,T
2022/02/16/19:11:37.130575,26736,1645056697,127912521,218,671942.834403911,4689627.842036,5,42,T
2022/02/16/19:11:37.332820,26737,1645056697,330170154,219,671942.831410243,4689628.19952232,5,42,T
2022/02/16/19:11:37.332947,26738,1645056697,330170154,220,671942.831410243,4689628.19952232,5,42,T
2022/02/16/19:11:37.532554,26739,1645056697,530168533,221,671942.851951079,4689628.50674494,5,42,T
2022/02/16/19:11:37.532583,26740,1645056697,530168533,222,671942.851951079,4689628.50674494,5,42,T
2022/02/16/19:11:37.733227,26741,1645056697,731165170,223,671942.902160663,4689628.75494793,5,42,T
2022/02/16/19:11:37.733245,26742,1645056697,731165170,224,671942.902160663,4689628.75494793,5,42,T
2022/02/16/19:11:37.933004,26743,1645056697,931307792,225,671942.951198845,4689629.06769445,5,42,T
2022/02/16/19:11:37.934986,26744,1645056697,931307792,226,671942.951198845,4689629.06769445,5,42,T
2022/02/16/19:11:38.119061,26745,1645056698,118403911,227,671943.004209004,4689629.35882883,5,42,T
2022/02/16/19:11:38.119072,26746,1645056698,118403911,228,671943.004209004,4689629.35882883,5,42,T
2022/02/16/19:11:38.323253,26747,1645056698,321134567,229,671943.048909988,4689629.60151556,5,42,T
2022/02/16/19:11:38.323332,26748,1645056698,321134567,230,671943.048909988,4689629.60151556,5,42,T
2022/02/16/19:11:38.525736,26749,1645056698,524053335,231,671943.139559673,4689629.86221551,5,42,T
2022/02/16/19:11:38.527723,26750,1645056698,524053335,232,671943.139559673,4689629.86221551,5,42,T
2022/02/16/19:11:38.728904,26751,1645056698,726731300,233,671943.196378921,4689630.09350991,5,42,T
2022/02/16/19:11:38.729554,26752,1645056698,726731300,234,671943.196378921,4689630.09350991,5,42,T
2022/02/16/19:11:38.930619,26753,1645056698,928193092,235,671943.258660232,4689630.37707866,5,42,T
2022/02/16/19:11:38.930886,26754,1645056698,928193092,236,671943.258660232,4689630.37707866,5,42,T
2022/02/16/19:11:39.130838,26755,1645056699,129020690,237,671943.319518744,4689630.6793533,5,42,T
2022/02/16/19:11:39.131231,26756,1645056699,129020690,238,671943.319518744,4689630.6793533,5,42,T
2022/02/16/19:11:39.333584,26757,1645056699,331467866,239,671943.390253835,4689630.89892838,5,42,T
2022/02/16/19:11:39.333639,26758,1645056699,331467866,240,671943.390253835,4689630.89892838,5,42,T
2022/02/16/19:11:39.533129,26759,1645056699,531156063,241,671943.491056238,4689631.08250213,5,42,T
2022/02/16/19:11:39.533205,26760,1645056699,531156063,242,671943.491056238,4689631.08250213,5,42,T
2022/02/16/19:11:39.732844,26761,1645056699,730597734,243,671943.548263404,4689631.30360066,5,42,T
2022/02/16/19:11:39.732926,26762,1645056699,730597734,244,671943.548263404,4689631.30360066,5,42,T
2022/02/16/19:11:39.934323,26763,1645056699,932077646,245,671943.603961797,4689631.57494691,5,42,T
2022/02/16/19:11:39.935109,26764,1645056699,932077646,246,671943.603961797,4689631.57494691,5,42,T
2022/02/16/19:11:40.133085,26765,1645056700,131303071,247,671943.650781004,4689631.86592932,5,42,T
2022/02/16/19:11:40.134345,26766,1645056700,131303071,248,671943.650781004,4689631.86592932,5,42,T
2022/02/16/19:11:40.335710,26767,1645056700,333176851,249,671943.725130464,4689632.08967529,5,42,T
