%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z
1.64609932171346E+018,24693,0,2.4814848,-0.073,0.7067,0.1125
1.64609932173843E+018,24694,0,2.4963584,-0.0749,0.7058,0.1148
1.64609932176356E+018,24695,0,2.5129728,-0.074,0.7057,0.109
1.64609932178821E+018,24696,0,2.4653568,-0.0712,0.7027,0.108
1.64609932181301E+018,24697,0,2.4797696,-0.072,0.7086,0.109
1.64609932183799E+018,24698,0,2.4981504,-0.0759,0.7028,0.1089
1.6460993218629E+018,24699,0,2.4905728,-0.073,0.7067,0.1055
1.64609932188787E+018,24700,0,2.4973824,-0.0759,0.7058,0.1089
1.6460993219138E+018,24701,0,2.593152,-0.074,0.7038,0.1125
1.64609932193879E+018,24702,0,2.498432,-0.074,0.7057,0.109
1.6460993219638E+018,24703,0,2.50176,-0.0711,0.7037,0.1138
1.64609932198827E+018,24704,0,2.4463104,-0.072,0.7106,0.109
1.6460993220132E+018,24705,0,2.4933376,-0.073,0.7057,0.109
1.64609932203804E+018,24706,0,2.48384,-0.0721,0.7047,0.1114
1.64609932206301E+018,24707,0,2.496896,-0.073,0.7067,0.1078
1.64609932208787E+018,24708,0,2.486016,-0.0739,0.7097,0.1077
1.64609932211286E+018,24709,0,2.4989184,-0.0749,0.7048,0.1113
1.64609932213764E+018,24710,0,2.4784384,-0.073,0.7047,0.1114
1.64609932216365E+018,24711,0,2.6013952,-0.0739,0.7067,0.1101
1.64609932218854E+018,24712,0,2.4886784,-0.073,0.7047,0.1114
1.6460993222137E+018,24713,0,2.5157888,-0.0721,0.7007,0.1103
1.6460993222382E+018,24714,0,2.4502528,-0.0749,0.7058,0.1089
1.64609932226295E+018,24715,0,2.4751872,-0.072,0.7096,0.1125
1.64609932228841E+018,24716,0,2.5460992,-0.073,0.7067,0.1114
1.6460993223127E+018,24717,0,2.4289536,-0.074,0.7028,0.1078
1.64609932233744E+018,24718,0,2.4739584,-0.073,0.7037,0.109
1.64609932236262E+018,24719,0,2.518016,-0.074,0.7037,0.109
1.64609932238828E+018,24720,0,2.566016,-0.072,0.7096,0.1114
1.64609932241309E+018,24721,0,2.4804864,-0.073,0.7077,0.1078
1.64609932243708E+018,24722,0,2.3992576,-0.0749,0.7057,0.1077
1.64609932246275E+018,24723,0,2.5671936,-0.074,0.7047,0.109
1.64609932248773E+018,24724,0,2.497664,-0.0748,0.7117,0.1065
1.64609932251246E+018,24725,0,2.472832,-0.073,0.7077,0.109
1.64609932253753E+018,24726,0,2.507392,-0.0711,0.7076,0.1103
1.64609932256261E+018,24727,0,2.5076736,-0.073,0.7057,0.1114
1.64609932258727E+018,24728,0,2.4658688,-0.074,0.7028,0.1125
1.64609932261219E+018,24729,0,2.49216,-0.0711,0.7027,0.1127
1.64609932263714E+018,24730,0,2.4946176,-0.073,0.7067,0.109
1.64609932266175E+018,24731,0,2.4612352,-0.0749,0.7028,0.1089
1.64609932268784E+018,24732,0,2.6090496,-0.073,0.7037,0.1126
1.64609932271238E+018,24733,0,2.4539392,-0.0721,0.7047,0.1079
1.64609932273746E+018,24734,0,2.5080064,-0.0721,0.7047,0.1114
1.64609932276239E+018,24735,0,2.49344,-0.0739,0.7067,0.1125
1.64609932278718E+018,24736,0,2.4791552,-0.0739,0.7087,0.1066
1.64609932281227E+018,24737,0,2.5081856,-0.073,0.7077,0.1078
1.64609932283701E+018,24738,0,2.4744448,-0.073,0.7037,0.1102
1.64609932286209E+018,24739,0,2.5077248,-0.0721,0.7037,0.1091
1.64609932288687E+018,24740,0,2.4779264,-0.0739,0.7107,0.1113
1.64609932291267E+018,24741,0,2.5808128,-0.0711,0.7086,0.1138
1.64609932293758E+018,24742,0,2.4901888,-0.073,0.7047,0.1102
1.6460993229625E+018,24743,0,2.4926208,-0.074,0.7057,0.1066
1.64609932298769E+018,24744,0,2.5187328,-0.0749,0.7048,0.1101
1.64609932301214E+018,24745,0,2.4448256,-0.0768,0.7048,0.11
1.64609932303686E+018,24746,0,2.47168,-0.0739,0.7067,0.1101
1.64609932306175E+018,24747,0,2.4898816,-0.0711,0.7056,0.1103
1.64609932308705E+018,24748,0,2.5291264,-0.073,0.7047,0.1055
1.64609932311169E+018,24749,0,2.464896,-0.0721,0.7027,0.1079
1.64609932313663E+018,24750,0,2.4936704,-0.0721,0.7027,0.1103
